Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,431.4763,434.0506,428.903,428.903,40309
2008-01-03,419.8109,419.8109,407.4585,416.0365,21250
2008-01-04,411.8335,422.0412,403.169,408.3156,22268
2008-01-07,406.1718,409.9463,403.169,403.169,16106
2008-01-08,399.138,403.169,394.6765,394.6765,30489
2008-01-09,394.591,394.591,381.7245,384.1258,45789
2008-01-10,377.435,384.1258,362.6803,362.6803,54244
2008-01-11,363.7104,367.1408,349.1277,360.279,29217
2008-01-14,353.5017,376.1483,346.7254,364.5675,49373
2008-01-15,364.5675,375.7198,345.6963,345.8673,42490
2008-01-16,324.6793,340.4632,320.8194,331.1136,170125
2008-01-17,335.4021,348.2696,328.5403,334.545,58917
2008-01-18,331.1136,337.9754,321.8495,325.967,91468
2008-01-21,301.1756,321.1624,301.1756,311.8128,83038
2008-01-22,300.232,330.2555,297.2301,320.9059,71650
2008-01-23,334.545,334.545,307.6098,313.0995,131574
2008-01-24,330.2555,333.6869,317.389,333.6869,82106
2008-01-25,336.2602,336.2602,322.278,323.3927,38330
2008-01-28,321.6775,322.5356,311.4698,311.4698,54648
2008-01-29,317.389,331.7997,313.9576,323.2217,129505
2008-01-30,332.2282,333.5149,322.7066,329.3974,26653
2008-01-31,316.6164,325.1089,313.0995,315.6728,49712
2008-02-01,322.5356,333.6869,319.1897,332.8288,39713
2008-02-04,334.716,338.8335,327.6822,335.4021,12404
2008-02-05,331.9717,333.6869,321.6775,321.763,19242
2008-02-06,317.8175,329.3974,316.5309,328.5403,19020
2008-02-07,328.5403,336.2602,323.4792,331.1136,50892
2008-02-08,336.9463,338.6624,321.763,338.6624,57190
2008-02-11,334.545,345.8673,327.6822,345.6963,26558
2008-02-12,343.9801,364.5675,343.9801,355.5609,46903
2008-02-13,351.701,381.7245,351.701,369.1145,79341
2008-02-14,380.0083,380.0083,368.9425,374.5186,70625
2008-02-15,379.1502,379.1502,369.4575,369.7151,49551
2008-02-18,373.1455,386.013,373.1455,383.6107,76740
2008-02-19,384.8118,393.7329,375.9763,376.5769,22846
2008-02-20,369.1145,392.0177,365.5976,376.5769,39075
2008-02-21,382.5816,385.5844,379.2367,380.6944,54794
2008-02-22,376.5769,382.153,372.7169,373.1455,18459
2008-02-25,376.5769,376.5769,361.9942,372.1164,13468
2008-02-26,369.7151,383.4397,353.5017,357.7057,24614
2008-02-27,360.279,361.1371,343.2085,359.1634,32591
2008-02-28,360.279,360.279,344.9237,355.6464,21257
2008-02-29,349.6417,355.9895,344.9237,355.9895,32609
2008-03-03,345.0102,347.841,341.4068,344.8382,38559
2008-03-04,344.9237,344.9237,313.2715,313.9576,279374
2008-03-05,315.2442,319.4472,307.0948,313.014,178234
2008-03-06,313.9576,313.9576,305.2931,305.2931,44198
2008-03-07,295.9435,300.232,284.3626,300.232,56352
2008-03-10,301.9482,310.9547,301.9482,307.9529,119841
2008-03-11,307.9529,315.6728,307.0948,313.0995,72148
2008-03-12,317.389,319.9623,308.8965,314.8147,20202
2008-03-13,312.2414,312.2414,295.9435,304.264,11195
2008-03-14,304.607,305.3796,293.1127,293.7987,32205
2008-03-17,281.5318,288.2236,279.7311,284.6202,98137
2008-03-18,283.076,308.7245,283.076,307.0948,49951
2008-03-19,307.1803,310.9547,306.5797,307.1803,67984
2008-03-20,304.5215,313.528,298.5168,309.6681,174071
2008-03-25,324.6793,324.6793,314.9012,316.9594,88366
2008-03-26,321.2489,321.2489,316.1013,317.389,227084
2008-03-27,320.0478,323.3927,314.0431,320.9914,59121
2008-03-28,315.7583,321.0769,311.3843,316.4444,17914
2008-03-31,319.0187,319.0187,309.8401,310.2687,23454
2008-04-01,311.8128,325.795,311.8128,316.4444,56469
2008-04-02,324.9369,343.123,322.7066,330.4275,91274
2008-04-03,330.341,333.6014,323.9933,324.2508,262581
2008-04-04,326.0525,332.8288,324.2508,328.1107,185807
2008-04-07,332.8288,337.1183,328.1107,331.0281,37859
2008-04-08,333.9444,333.9444,328.9688,330.5985,7921
2008-04-09,327.6822,328.3683,321.6775,328.3683,107880
2008-04-10,328.3683,328.3683,319.1042,319.8758,25383
2008-04-11,323.3927,324.2508,301.5186,305.3796,75667
2008-04-14,305.3796,305.3796,298.1737,300.3185,66144
2008-04-15,302.9773,302.9773,294.7423,301.0901,49886
2008-04-16,301.9482,301.9482,296.8871,300.232,29582
2008-04-17,301.0901,301.0901,294.2273,300.232,39107
2008-04-18,300.1465,310.5262,298.5168,306.0657,21913
2008-04-21,307.9529,307.9529,301.9482,304.779,9301
2008-04-22,304.5215,304.5215,288.3091,300.061,18596
2008-04-23,300.061,301.9482,293.5412,295.9435,36388
2008-04-24,300.232,304.8645,292.5121,304.8645,45154
2008-04-25,307.9529,316.5309,303.6634,312.2414,40819
2008-04-28,319.1042,321.2489,317.389,319.9623,59900
2008-04-29,318.2461,320.1333,310.5262,312.6709,18829
2008-04-30,308.7245,312.2414,304.607,308.81,50079
2008-05-05,321.592,321.592,313.0995,317.389,13216
2008-05-06,320.3908,320.3908,317.9886,318.2461,77548
2008-05-07,319.7047,331.1136,319.1042,330.2555,290617
2008-05-08,325.8805,325.8805,320.1333,320.8194,125429
2008-05-09,322.5356,322.5356,318.2461,319.9623,57926
2008-05-12,321.6775,324.2508,319.9623,321.42,30172
2008-05-13,322.5356,322.6211,319.9623,321.6775,45933
2008-05-14,321.6775,325.0234,321.6775,324.2508,56761
2008-05-15,318.2461,324.6793,315.0722,324.2508,43891
2008-05-16,326.0525,337.9754,326.0525,335.4021,154242
2008-05-19,335.6596,346.8974,335.5741,341.4068,73852
2008-05-20,343.0365,343.123,332.9143,334.4585,31045
2008-05-21,331.5421,338.748,327.6822,329.3974,41298
2008-05-23,333.6014,333.6014,322.7066,329.3974,10958
2008-05-26,331.1136,337.8044,331.1136,333.6869,50779
2008-05-27,337.1183,346.5534,331.1136,343.637,59970
2008-05-28,345.6963,353.3307,344.3241,351.701,62823
2008-05-29,355.9895,357.7057,338.8335,357.7057,71421
2008-05-30,355.0459,355.0459,350.0713,351.701,21763
2008-06-02,350.8429,351.701,345.6963,351.2714,18752
2008-06-03,347.4115,355.1324,347.4115,354.1888,57288
2008-06-04,355.0459,355.0459,345.2667,345.8673,30325
2008-06-05,348.2696,349.9848,340.8062,348.1841,20861
2008-06-06,353.4162,360.279,343.123,349.1277,48720
2008-06-09,340.5497,346.9829,336.7752,338.8335,23540
2008-06-10,326.8241,332.8288,323.4792,329.3974,50361
2008-06-11,325.967,330.2555,315.8448,319.1897,26708
2008-06-12,317.389,327.6822,314.0431,323.3927,23606
2008-06-13,318.2461,322.5356,314.9867,321.6775,14195
2008-06-16,330.2555,330.2555,317.6455,322.5356,28204
2008-06-17,322.6211,328.5403,322.6211,326.8241,38008
2008-06-18,327.6822,327.6822,313.0995,327.2536,24800
2008-06-19,317.389,343.123,315.9303,332.2282,20659
2008-06-20,331.9717,337.9754,325.967,325.967,49424
2008-06-23,326.0525,331.1136,321.8495,325.967,14530
2008-06-24,325.967,330.2555,320.1333,321.6775,27360
2008-06-25,321.935,321.935,313.9576,315.6728,26834
2008-06-26,318.9322,322.5356,314.3861,318.2461,14342
2008-06-27,313.9576,316.5309,304.5215,304.5215,35250
2008-06-30,307.6098,308.81,292.5976,303.6634,25340
2008-07-01,304.5215,304.5215,299.3749,300.3185,15411
2008-07-02,300.3185,303.7489,296.6296,298.5168,19022
2008-07-03,296.6296,301.9482,294.2273,296.8871,31797
2008-07-04,300.232,307.9529,294.8279,304.264,11579
2008-07-07,307.0093,316.3589,304.264,312.2414,14877
2008-07-08,307.0948,325.8805,302.8918,325.8805,27441
2008-07-09,324.5938,330.17,318.5036,326.8241,35579
2008-07-10,315.9303,325.4519,313.6145,313.6145,39847
2008-07-11,314.9867,318.2461,296.8871,300.3185,51201
2008-07-14,300.232,305.3796,291.654,296.372,42304
2008-07-15,291.7405,297.6587,285.6493,291.654,110602
2008-07-16,301.0046,301.7762,292.5121,292.5121,21395
2008-07-17,300.232,310.9547,298.5168,310.5262,30957
2008-07-18,310.0976,319.5327,303.7489,318.9322,32064
2008-07-21,317.217,339.6916,313.0995,338.8335,38102
2008-07-22,336.8607,337.0318,329.8269,333.6869,22798
2008-07-23,339.6061,341.9218,328.5403,334.545,49236
2008-07-24,329.4839,334.545,327.9397,330.2555,83341
2008-07-25,325.967,338.6624,325.967,334.545,54377
2008-07-28,333.4294,335.4021,329.0543,335.4021,17732
2008-07-29,328.6258,333.6869,325.967,329.1408,12737
2008-07-30,336.2602,347.326,336.2602,347.326,33506
2008-07-31,343.123,343.123,330.4275,333.0863,49691
2008-08-01,332.7433,332.7433,325.967,331.8852,26479
2008-08-04,324.2508,337.1183,324.2508,335.4021,13899
2008-08-05,335.4021,343.123,328.5403,328.5403,41455
2008-08-06,334.545,336.1747,325.3664,325.3664,25978
2008-08-07,325.967,330.17,321.6775,321.6775,19772
2008-08-08,317.1314,329.998,315.6728,317.389,17090
2008-08-11,324.4228,324.9369,316.7019,321.5064,10632
2008-08-12,317.389,320.7339,314.8147,318.2461,39339
2008-08-13,317.389,319.7903,313.528,319.7903,61569
2008-08-14,324.2508,331.9717,315.7583,317.389,26226
2008-08-18,314.9012,324.8514,314.9012,315.9303,14249
2008-08-19,319.5327,319.5327,306.2367,307.0948,15282
2008-08-20,312.3269,312.3269,306.1512,312.0704,8807
2008-08-21,308.81,313.9576,306.2367,313.9576,11047
2008-08-22,313.9576,319.1042,309.7536,317.389,25749
2008-08-25,313.0995,318.2461,308.81,308.81,5387
2008-08-26,308.81,315.1577,308.81,308.8965,7232
2008-08-27,308.7245,313.8711,300.232,302.5487,17045
2008-08-28,300.232,307.9529,293.8843,302.8053,35297
2008-08-29,306.2367,313.014,304.5215,304.5215,40513
2008-09-01,301.9482,308.5534,301.0901,304.607,8105
2008-09-02,302.8053,326.3955,302.2912,321.6775,49058
2008-09-03,322.5356,322.5356,314.2151,314.2151,30328
2008-09-04,323.3072,323.3072,307.1803,307.1803,19177
2008-09-05,301.9482,307.0948,287.7085,287.7085,37882
2008-09-08,301.0901,307.0093,301.0901,307.0093,47928
2008-09-09,300.8326,307.0948,300.4895,305.3796,7594
2008-09-10,304.607,305.4651,292.5121,300.1465,40152
2008-09-11,299.3749,299.3749,290.0243,290.7969,33006
2008-09-12,297.2301,297.9162,289.9388,289.9388,30721
2008-09-15,287.794,287.794,268.5788,277.8439,46132
2008-09-16,267.7217,275.3561,265.92,265.92,35090
2008-09-17,278.7875,278.7875,257.7705,259.0572,59765
2008-09-18,249.6221,264.8053,249.6221,258.8862,59597
2008-09-19,265.92,285.6493,264.2048,278.7875,87964
2008-09-22,282.2179,285.3927,270.2095,277.0713,34193
2008-09-23,270.2095,282.2179,267.8072,274.1549,40671
2008-09-24,277.0713,281.3608,274.1549,274.498,23994
2008-09-25,276.2142,285.6493,273.7264,284.3626,21862
2008-09-26,284.7922,289.0807,279.3016,282.905,65288
2008-09-29,283.9341,287.3655,267.6362,267.6362,44926
2008-09-30,257.342,268.4933,254.2536,266.7781,73419
2008-10-01,268.4933,281.3608,268.4933,277.0713,36304
2008-10-02,281.2753,283.076,265.92,268.4933,74935
2008-10-03,268.4933,268.4933,255.6268,259.8298,73775
2008-10-06,254.7687,254.7687,229.4632,230.9219,77478
2008-10-07,239.6709,240.186,218.7405,223.1155,67307
2008-10-08,208.0177,235.811,203.3007,216.1672,134096
2008-10-09,218.7405,223.03,211.1916,211.1916,55102
2008-10-10,199.4397,201.5845,169.8458,188.889,148319
2008-10-13,192.1484,199.8693,190.8617,198.5826,82122
2008-10-14,218.7405,218.7405,201.5845,205.874,194348
2008-10-15,205.874,205.874,178.4238,181.8552,106570
2008-10-16,163.8411,171.561,158.6945,163.155,241183
2008-10-17,174.5638,177.9952,147.6287,157.8364,272711
2008-10-20,163.8411,167.2725,150.9736,158.437,77623
2008-10-21,162.983,167.2725,158.6945,164.6992,76981
2008-10-22,160.4097,162.1259,146.6851,147.5432,135955
2008-10-23,147.6287,149.7734,121.2086,130.3862,249762
2008-10-24,122.6663,127.7274,118.8919,124.3825,198176
2008-10-27,122.7518,137.249,120.265,128.671,124265
2008-10-28,134.6757,135.1043,129.6146,130.4727,134791
2008-10-29,138.9652,145.656,134.3326,144.0253,274947
2008-10-30,155.2631,156.1212,144.9689,151.1456,162710
2008-10-31,150.9736,160.2387,148.4003,157.8364,114191
2008-11-03,161.2678,167.2725,156.7208,156.7208,103821
2008-11-04,157.9219,167.015,157.9219,167.015,108410
2008-11-05,167.2725,170.7039,164.2697,167.1005,268489
2008-11-06,158.78,165.9858,155.6061,165.4708,146941
2008-11-07,165.2997,169.2452,163.8411,166.4144,101673
2008-11-10,169.8458,173.1917,168.9877,172.4191,52898
2008-11-12,169.7603,169.7603,158.0084,164.3561,150641
2008-11-13,150.1165,160.2387,150.1165,156.9783,87160
2008-11-14,164.6992,165.8993,159.3806,159.3806,44850
2008-11-17,157.8364,161.2678,152.6898,157.8364,39250
2008-11-18,158.6945,158.6945,150.1165,151.8317,57444
2008-11-19,154.405,156.6353,147.8862,155.9492,26900
2008-11-20,144.9689,145.827,142.8251,143.2537,131336
2008-11-21,144.1118,148.8298,144.1118,146.6851,29604
2008-11-24,149.2584,167.2725,149.2584,166.4144,45935
2008-11-25,169.8458,174.9924,165.7283,171.4755,40128
2008-11-26,170.7039,175.8505,167.2725,175.8505,52277
2008-11-27,176.7086,187.0018,176.7086,187.0018,48570
2008-11-28,187.0018,187.0018,177.7377,179.2819,60438
2008-12-01,167.358,177.3947,167.358,174.9924,41192
2008-12-02,167.8731,180.8261,163.9266,180.2255,31583
2008-12-03,181.8552,187.8599,180.311,180.311,54132
2008-12-04,184.4285,197.296,182.0262,194.8937,35631
2008-12-05,190.8617,193.8646,187.4304,188.2029,34897
2008-12-08,196.0093,197.9821,193.8646,196.4379,46094
2008-12-09,196.0093,199.6973,190.4332,199.0112,28932
2008-12-10,199.0112,200.2978,191.9774,194.5507,31754
2008-12-11,193.8646,194.1221,180.2255,188.717,37611
2008-12-12,180.2255,188.717,180.2255,184.4285,27700
2008-12-15,187.8599,191.2913,184.4285,187.8599,38902
2008-12-16,191.2048,191.2048,184.9435,190.4332,48808
2008-12-17,190.0046,190.4332,185.7151,185.7151,57454
2008-12-18,186.1437,189.5751,176.279,179.1954,65851
2008-12-19,178.8523,183.5704,175.5074,175.5074,95468
2008-12-22,181.8552,181.8552,169.9313,169.9313,49626
2008-12-23,169.7603,170.0168,166.4144,167.2725,48834
2008-12-29,171.561,172.4191,167.4435,167.53,38794
2008-12-30,169.7603,170.9604,169.7603,170.7039,21675
2008-12-31,171.561,172.6766,167.2725,168.5591,14829
