Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,196.3631,198.0932,190.308,190.308,530639
2008-01-03,191.173,196.1035,189.5289,194.5462,309524
2008-01-04,195.9307,196.0167,187.7129,192.7293,362585
2008-01-07,191.0861,192.038,184.2527,185.3775,376722
2008-01-08,186.8479,188.4051,180.0135,187.7129,563613
2008-01-09,185.1178,185.1178,180.7927,184.8581,659323
2008-01-10,182.6087,184.2527,180.1005,182.349,677313
2008-01-11,181.6577,184.8581,180.1005,183.3878,561264
2008-01-14,185.1178,186.8479,179.9276,183.3878,516802
2008-01-15,181.6577,187.626,174.7375,175.6025,523771
2008-01-16,167.4706,175.6025,165.2212,169.9798,832345
2008-01-17,172.1424,173.0074,163.4921,168.6814,636920
2008-01-18,166.5197,171.2764,166.5197,171.2764,821558
2008-01-21,164.7027,169.4604,160.1179,160.1179,614579
2008-01-22,149.5648,168.6814,149.5648,161.7611,645410
2008-01-23,165.395,166.9513,156.1385,166.9513,698982
2008-01-24,168.6814,175.6025,168.2489,173.2662,632230
2008-01-25,173.8715,174.9962,168.5085,170.4114,467144
2008-01-28,166.0872,168.6814,163.578,164.3563,696318
2008-01-29,167.8164,170.8439,166.0872,169.5473,1057294
2008-01-30,169.5473,172.8337,166.0872,171.7098,282292
2008-01-31,168.7682,170.3255,163.578,167.7304,376238
2008-02-01,168.6814,174.7375,167.7304,174.305,274188
2008-02-04,176.4675,178.8029,171.7958,174.305,263980
2008-02-05,172.5749,173.0074,163.4053,163.4053,311509
2008-02-06,160.897,163.1456,157.5229,161.7611,855099
2008-02-07,161.1558,161.1558,152.9381,156.5709,509647
2008-02-08,158.302,158.302,151.3808,153.9759,379641
2008-02-11,153.9759,159.1661,153.6303,158.302,270244
2008-02-12,160.0311,167.8164,160.0311,166.5197,471954
2008-02-13,166.0872,174.7375,163.3184,169.2876,288232
2008-02-14,173.8715,176.4675,168.6814,173.0074,552723
2008-02-15,171.3634,173.8715,164.7887,164.7887,310902
2008-02-18,167.7304,173.0074,167.125,172.3152,224765
2008-02-19,172.3152,175.17,169.1148,174.7375,424950
2008-02-20,170.4114,171.1036,166.0872,170.8439,282801
2008-02-21,172.5749,172.5749,166.5197,167.7304,247627
2008-02-22,167.8164,169.2876,164.9625,165.2212,248252
2008-02-25,167.0382,170.5851,165.2212,167.8164,410959
2008-02-26,169.5473,171.1036,165.3081,166.26,365126
2008-02-27,163.4921,165.8275,159.5986,162.6262,395116
2008-02-28,162.5402,162.9727,157.436,161.2426,165099
2008-02-29,161.5024,162.8858,152.2459,152.2459,535358
2008-03-03,151.3808,151.3808,147.9207,148.3532,400964
2008-03-04,148.7857,149.6507,143.0771,144.0281,272992
2008-03-05,145.3256,154.3224,144.5474,154.3224,427921
2008-03-06,152.7652,154.8409,146.1906,149.6507,323044
2008-03-07,147.0557,147.4882,141.0004,144.0281,321361
2008-03-10,145.2396,150.4298,142.7305,149.7376,347411
2008-03-11,147.9207,158.8204,147.9207,157.8685,370713
2008-03-12,158.302,159.0801,155.1875,157.436,352381
2008-03-13,154.755,154.755,149.9973,153.1108,354211
2008-03-14,153.1108,157.2632,150.5158,151.6405,487047
2008-03-17,147.0557,147.9207,141.347,142.7305,418279
2008-03-18,143.6824,154.0628,143.6824,153.1108,378941
2008-03-19,153.9759,158.7335,152.6783,158.302,639451
2008-03-20,155.1875,163.4921,155.1875,158.302,770172
2008-03-25,166.6925,169.5473,163.4921,166.5197,534825
2008-03-26,166.8654,168.7682,163.7509,166.0872,513057
2008-03-27,167.9032,171.2764,166.6925,169.3736,398758
2008-03-28,166.9513,170.758,166.9513,170.3255,592546
2008-03-31,167.7276,171.2783,166.0835,170.6702,384021
2008-04-01,169.2007,174.7375,168.6814,173.8715,410023
2008-04-02,177.7651,181.2252,174.305,175.8613,641604
2008-04-03,176.0341,178.8029,173.9584,175.6025,337074
2008-04-04,175.6025,178.0239,173.8715,176.0341,249962
2008-04-07,178.1976,181.2252,178.1976,180.2733,422777
2008-04-08,178.9757,178.9757,172.1424,172.4881,228817
2008-04-09,173.8715,174.2181,171.5361,173.6128,349842
2008-04-10,172.1424,173.0074,168.9411,169.5473,203257
2008-04-11,171.2764,174.7375,163.578,163.578,495450
2008-04-14,163.0596,166.0003,159.1661,163.3184,263480
2008-04-15,163.4921,168.5085,161.7611,168.5085,353283
2008-04-16,169.9798,172.1424,167.3838,171.0176,334982
2008-04-17,172.1424,172.4012,166.8654,169.5473,333370
2008-04-18,167.9032,176.7263,167.9032,176.7263,373169
2008-04-21,176.3807,179.0627,171.7098,173.0074,322458
2008-04-22,174.9962,176.0341,166.6925,171.1036,263773
2008-04-23,169.6333,176.2938,164.7027,165.7406,369751
2008-04-24,167.8164,169.1148,165.395,168.2489,420492
2008-04-25,169.5473,170.8439,167.4706,167.4706,158722
2008-04-28,169.9798,171.2764,168.076,170.4114,199395
2008-04-29,170.1526,170.1526,164.7887,164.7887,255188
2008-04-30,165.139,167.8182,164.3581,166.9559,240760
2008-05-05,170.8421,172.0592,168.8533,171.0149,258278
2008-05-06,173.7847,174.6469,171.0149,173.2671,263381
2008-05-07,175.0831,179.9276,174.5637,177.9379,538277
2008-05-08,175.6006,175.6006,171.2783,171.2783,765744
2008-05-09,171.7145,173.8753,169.6342,173.0038,386504
2008-05-12,175.6006,176.0369,173.7024,175.0831,266552
2008-05-13,177.0812,178.8066,176.2633,178.1708,343301
2008-05-14,180.1689,180.1689,172.9039,173.4482,441715
2008-05-15,173.9935,174.8105,172.9039,173.903,387558
2008-05-16,174.4473,176.1727,173.5388,174.3568,455404
2008-05-19,174.4473,175.2652,171.6323,172.6313,217220
2008-05-20,173.4482,173.4482,170.8152,170.8152,170222
2008-05-21,170.7238,172.5407,164.64,165.2758,185794
2008-05-23,163.2777,163.2777,158.0108,163.0051,233793
2008-05-26,162.5513,166.638,161.007,166.638,246294
2008-05-27,166.638,167.5455,163.4589,164.64,238347
2008-05-28,165.7296,166.7286,163.0956,163.4589,1423559
2008-05-29,165.2758,170.27,163.5503,167.8182,685216
2008-05-30,168.0003,171.8143,167.0918,171.8143,326601
2008-06-02,171.7228,171.7228,167.1824,167.1824,153822
2008-06-03,166.2748,170.8152,166.1833,169.5437,224786
2008-06-04,168.9078,169.271,166.0021,166.638,242883
2008-06-05,167.0918,170.5427,167.0918,170.5427,218285
2008-06-06,171.0869,174.3568,168.0908,168.0908,209725
2008-06-09,166.2748,167.637,163.2777,164.4579,217627
2008-06-10,161.6428,166.0927,158.4646,160.0994,612059
2008-06-11,161.6428,162.9145,153.4704,156.1948,280609
2008-06-12,154.3779,156.1034,151.926,155.2863,261907
2008-06-13,153.4704,157.557,151.0186,157.557,213046
2008-06-16,157.1024,158.3741,150.7459,151.1997,497542
2008-06-17,151.1997,154.6505,150.0195,152.5619,1519696
2008-06-18,151.6534,153.9241,149.111,150.7459,711372
2008-06-19,148.9299,156.1034,148.6573,155.2863,600251
2008-06-20,156.1948,156.6486,153.561,153.561,796461
2008-06-23,154.4694,155.6496,149.4742,150.0195,179616
2008-06-24,150.0195,153.4704,149.3836,150.2921,302577
2008-06-25,150.7459,154.6505,150.7459,154.3779,262349
2008-06-26,154.3779,155.2863,150.2921,153.0156,215225
2008-06-27,149.8374,150.6553,147.6583,148.5667,407945
2008-06-30,149.8374,150.6553,148.5667,149.3836,989003
2008-07-01,149.8374,150.2007,146.7497,148.9299,302193
2008-07-02,148.9299,149.8374,144.8432,149.8374,482307
2008-07-03,148.9299,149.7469,145.9328,149.7469,513003
2008-07-04,148.8384,149.6563,145.297,146.6591,234296
2008-07-07,147.1139,147.295,141.4829,142.5725,347509
2008-07-08,139.848,139.848,136.6698,138.2141,492968
2008-07-09,138.9405,143.2998,138.9405,141.5735,448108
2008-07-10,138.4867,144.7526,138.4867,143.481,309721
2008-07-11,143.2998,143.481,139.9395,140.7565,293170
2008-07-14,140.7565,143.3904,138.1235,142.5725,363066
2008-07-15,139.4857,141.5735,133.5821,133.5821,352043
2008-07-16,135.9434,137.3962,132.0387,135.0359,399263
2008-07-17,138.3952,146.2055,138.3952,144.8432,434640
2008-07-18,143.481,152.5619,142.3008,150.7459,588552
2008-07-21,148.9299,152.5619,148.2035,151.5628,325076
2008-07-22,151.3817,155.2863,146.296,154.3779,658734
2008-07-23,155.7401,162.2787,155.7401,160.5532,606172
2008-07-24,159.8269,164.0041,159.4637,160.5532,1918148
2008-07-25,157.8287,164.8211,155.8317,163.0051,681308
2008-07-28,160.2806,167.9087,160.2806,167.5455,465836
2008-07-29,164.3673,168.8172,164.3673,167.0918,732902
2008-07-30,169.8162,177.3529,169.8162,177.3529,960676
2008-07-31,173.903,173.903,168.1814,172.4492,419203
2008-08-01,170.7238,172.3586,166.638,169.3624,590752
2008-08-04,165.2758,168.454,165.2758,167.5455,409636
2008-08-05,166.0927,175.0831,166.0927,174.3568,794865
2008-08-06,175.6283,175.6283,166.3654,171.6323,823938
2008-08-07,170.27,172.9039,167.3644,169.8162,730125
2008-08-08,171.1785,171.6323,163.9135,165.0031,585216
2008-08-11,169.6342,169.6342,165.639,166.1833,461096
2008-08-12,166.1833,170.5427,164.3673,167.0918,355828
2008-08-13,165.4569,165.9116,163.2777,163.3683,271359
2008-08-14,165.0031,165.7296,156.4665,157.8287,218966
2008-08-18,159.8269,162.0975,158.2835,158.9183,216221
2008-08-19,156.1948,158.9183,153.4704,154.3779,200874
2008-08-20,154.7411,156.558,152.5619,155.7401,104450
2008-08-21,155.4675,155.4675,151.3817,155.2863,193314
2008-08-22,157.8287,159.191,155.2863,158.0108,186525
2008-08-25,158.9183,160.7353,155.3769,155.3769,124531
2008-08-26,152.8345,155.9222,152.6525,153.2883,185026
2008-08-27,154.7411,154.8325,150.4732,151.4723,266266
2008-08-28,151.4723,159.8269,150.3827,159.8269,628053
2008-08-29,158.9183,165.7296,158.9183,164.64,619656
