Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-01-02,39.745,40.205,38.8326,38.8326,1246228
2008-01-03,38.9028,38.9028,38.2556,38.5286,1746136
2008-01-04,38.5987,38.8326,37.5694,38.0608,1103042
2008-01-07,37.9125,38.0919,36.8131,37.1172,1762022
2008-01-08,37.3823,37.6084,37.0158,37.3823,3040368
2008-01-09,36.8052,37.0001,35.7057,36.6182,4015840
2008-01-10,36.0099,36.4622,35.2066,35.776,2700280
2008-01-11,35.1287,36.4622,35.1287,35.2534,1975493
2008-01-14,35.0898,35.1678,33.8811,34.77,3309643
2008-01-15,34.0994,35.347,33.9669,34.1385,2415045
2008-01-16,32.0408,34.7077,32.0408,32.805,5616999
2008-01-17,33.6393,33.9512,31.8848,33.8733,4422214
2008-01-18,33.226,34.7856,33.226,34.7077,3720594
2008-01-21,34.1306,34.2867,31.3624,31.3624,4172455
2008-01-22,29.8264,33.5224,29.4598,32.267,5040673
2008-01-23,32.8831,33.4913,31.6587,32.267,7143260
2008-01-24,33.4132,34.2554,32.8908,34.0994,4174874
2008-01-25,34.3412,34.7856,33.8733,34.7077,4194412
2008-01-28,34.1072,34.7077,33.5693,34.2164,2088920
2008-01-29,34.3333,35.5732,34.3333,35.5732,1713233
2008-01-30,35.4719,35.8072,34.7077,35.0898,2335476
2008-01-31,34.6765,35.0898,33.7173,34.0994,2363509
2008-02-01,34.3255,34.7467,34.1385,34.4192,1508980
2008-02-04,34.7856,35.082,34.1151,34.3255,1277911
2008-02-05,34.1151,34.388,32.4229,32.8831,2464249
2008-02-06,32.5009,32.7271,31.8147,32.3372,2463645
2008-02-07,32.0565,32.2514,31.0504,31.9629,1863998
2008-02-08,32.0565,32.267,31.2766,32.0408,1834948
2008-02-11,32.1188,33.5302,31.8927,32.8128,2147831
2008-02-12,33.4132,34.3255,32.9765,33.9512,4065416
2008-02-13,33.7953,34.1696,33.3743,33.9512,2413114
2008-02-14,35.0898,35.4874,34.5049,34.9573,3818661
2008-02-15,34.9338,34.9338,33.7485,34.3255,1626140
2008-02-18,34.3099,35.776,34.3099,35.4719,1768621
2008-02-19,35.16,36.049,34.8246,35.737,1596883
2008-02-20,35.082,35.776,34.4426,35.776,2095969
2008-02-21,35.7993,36.0021,34.7077,34.8559,1833622
2008-02-22,34.5751,34.7,33.8343,33.8343,2004042
2008-02-25,34.2867,34.4035,32.9142,33.3275,2278468
2008-02-26,33.421,33.9434,32.5399,32.7581,2382565
2008-02-27,32.8206,33.0701,32.1968,32.6178,2433385
2008-02-28,32.7972,32.8831,32.0408,32.805,1633386
2008-02-29,32.805,33.2339,32.0408,32.0408,2034640
2008-03-03,31.456,31.9238,30.9804,31.6587,2584336
2008-03-04,31.6821,31.8771,31.2766,31.3546,1406030
2008-03-05,31.5105,32.805,31.4325,32.805,1741935
2008-03-06,32.0565,33.0311,32.0565,32.2281,924455
2008-03-07,31.5808,31.7992,31.0504,31.3858,3970805
2008-03-10,31.4325,32.4229,31.2766,32.2281,1312400
2008-03-11,32.1968,33.5302,32.1499,33.2651,2140836
2008-03-12,33.2807,33.5614,32.6569,33.1792,1109590
2008-03-13,32.5633,32.5633,31.4716,31.5886,2373959
2008-03-14,31.6899,32.2281,31.191,31.2923,1853743
2008-03-17,30.9025,31.1207,29.6236,29.8107,1867782
2008-03-18,29.9121,32.0408,29.9121,32.0408,1291172
2008-03-19,31.9629,32.4853,30.9337,32.4229,2540986
2008-03-20,31.7367,32.7894,31.7367,31.7758,4103615
2008-03-25,32.766,33.4445,32.649,33.4445,2502944
2008-03-26,32.9142,33.7875,32.844,33.5693,5411979
2008-03-27,33.8811,34.9805,33.8811,34.3566,3685745
2008-03-28,33.577,34.5205,33.577,34.2945,1282091
2008-03-31,33.6393,34.7388,33.2807,34.3255,2263609
2008-04-01,33.577,35.4641,33.577,35.4017,2625392
2008-04-02,35.9319,36.1425,34.5205,35.1678,2682705
2008-04-03,34.9494,35.5498,34.1774,34.1774,2029407
2008-04-04,34.1774,34.9416,33.9512,34.7311,1106232
2008-04-07,34.8637,35.7681,34.7934,35.4484,1442104
2008-04-08,35.2457,35.2457,34.3412,34.5517,876359
2008-04-09,34.3255,35.4328,34.2554,35.2691,1128503
2008-04-10,34.7077,35.2457,34.2554,34.4035,847733
2008-04-11,34.9416,35.3783,33.5693,33.5693,2147209
2008-04-14,33.5693,34.076,32.766,33.421,1780120
2008-04-15,33.5693,33.9512,32.7972,33.8811,1045240
2008-04-16,33.6393,34.5205,33.6393,34.3255,1682859
2008-04-17,34.3255,34.4113,33.6393,33.8499,1840085
2008-04-18,33.6082,34.8637,33.5925,34.8637,1713748
2008-04-21,34.2007,35.0898,34.1774,34.4738,1196887
2008-04-22,34.2554,34.4738,33.4132,34.076,1568740
2008-04-23,34.0605,34.1774,32.8908,33.5693,2135505
2008-04-24,33.5693,34.6609,33.3431,34.6609,2066272
2008-04-25,34.6453,35.0898,34.3412,35.0741,2099120
2008-04-28,35.0352,35.4719,35.0352,35.3627,1886309
2008-04-29,35.1678,35.1678,34.3566,34.6375,1758542
2008-04-30,34.3958,35.0898,33.9902,35.0898,954256
2008-05-05,35.4641,36.0099,35.4641,36.0099,1497138
2008-05-06,36.0878,36.1502,35.7057,36.1268,1359324
2008-05-07,36.392,37.3823,36.392,37.1406,3042695
2008-05-08,36.9924,37.0001,36.2438,36.6182,1678509
2008-05-09,36.6961,36.8987,36.5168,36.7351,1868101
2008-05-12,36.7351,37.2263,36.6337,36.8442,2205463
2008-05-13,36.9222,37.1796,36.9222,37.1406,1461427
2008-05-14,37.2496,37.9905,37.164,37.9905,3005228
2008-05-15,37.5461,38.3726,37.4601,37.6084,4234619
2008-05-16,37.9047,38.0296,37.4601,37.7643,1381424
2008-05-19,37.3823,37.6863,36.9612,37.0937,725895
2008-05-20,37.0001,37.2965,36.6728,36.891,2037823
2008-05-21,36.7741,37.7643,36.6182,37.7643,2004055
2008-05-23,37.0392,37.9202,37.0392,37.5226,1256953
2008-05-26,37.3823,37.5694,37.2263,37.3823,1174000
2008-05-27,37.4057,37.8969,37.3902,37.3902,1909723
2008-05-28,37.429,39.0978,37.429,38.8716,6434976
2008-05-29,38.9028,39.4408,38.1464,38.5286,5535495
2008-05-30,38.5987,38.7937,38.2167,38.4116,2018256
2008-06-02,38.3726,39.0587,38.2556,38.8716,1367140
2008-06-03,38.3335,38.8326,38.2556,38.7157,1193972
2008-06-04,38.6378,38.6378,37.0236,37.0236,1778498
2008-06-05,37.6786,37.7488,37.0236,37.1562,1694511
2008-06-06,37.7566,38.0841,36.6182,36.6182,1181791
2008-06-09,36.2361,36.353,35.6356,35.7838,1706025
2008-06-10,35.4719,35.776,34.9416,35.3237,2867483
2008-06-11,35.542,35.7057,34.388,34.388,2195077
2008-06-12,34.3723,35.0507,34.3723,35.0507,1940522
2008-06-13,34.9027,35.0352,34.2554,35.0117,1830322
2008-06-16,35.2066,35.7057,35.0975,35.2457,1968593
2008-06-17,35.854,36.9144,35.3237,36.6103,4710988
2008-06-18,36.6103,36.6103,35.854,36.2361,1605508
2008-06-19,35.2847,37.0781,35.2847,36.9846,2888730
2008-06-20,36.6571,37.1406,35.5108,35.5108,2961770
2008-06-23,35.6279,36.4622,34.4035,34.4035,1366946
2008-06-24,35.0898,35.2301,33.9669,34.6765,2069311
2008-06-25,35.0898,35.1522,34.1385,35.0117,996982
2008-06-26,35.0117,35.2457,34.1774,34.7,3018888
2008-06-27,33.9512,35.082,33.9512,34.3255,1786419
2008-06-30,35.4641,35.4641,34.3412,34.9883,2362495
2008-07-01,34.7154,34.9883,34.0214,34.7077,2510915
2008-07-02,34.4035,34.6063,33.6082,33.7173,1246470
2008-07-03,33.5693,34.0137,32.649,33.1482,3344985
2008-07-04,33.1092,33.4132,32.5711,32.6022,1121129
2008-07-07,32.6881,34.3255,32.6881,33.7953,1578087
2008-07-08,33.1949,35.3237,32.9609,35.3237,1893800
2008-07-09,35.0898,35.7057,35.0898,35.7057,3878930
2008-07-10,34.7154,35.6589,34.7077,34.7077,2007420
2008-07-11,35.0741,35.082,33.7173,34.0214,1444795
2008-07-14,34.5594,35.004,34.3333,34.3333,1648370
2008-07-15,33.6939,34.232,33.0546,33.1871,2284806
2008-07-16,33.5614,33.7953,32.7271,32.8987,1996301
2008-07-17,33.6393,34.3255,33.2105,34.3255,2582660
2008-07-18,34.4816,35.1678,34.3333,34.9182,2951685
2008-07-21,34.4113,35.7136,34.4113,35.7136,1590372
2008-07-22,35.1678,35.3938,34.77,35.2534,2155385
2008-07-23,35.5108,36.5401,35.5108,36.5401,2753413
2008-07-24,36.392,37.6863,36.392,37.2263,7845503
2008-07-25,36.6182,38.1386,36.1581,37.9905,2827193
2008-07-28,37.5382,38.2167,37.3902,37.6084,3209867
2008-07-29,37.0001,38.1075,37.0001,38.1075,1215214
2008-07-30,38.1464,39.745,38.1231,39.745,3314304
2008-07-31,39.402,40.049,38.5286,40.049,3518679
2008-08-01,39.402,39.823,38.3335,39.667,3094682
2008-08-04,39.2849,39.402,38.2556,38.2556,1783460
2008-08-05,38.1464,39.4408,38.1464,39.2147,2895461
2008-08-06,39.823,39.862,38.2946,38.7157,2962927
2008-08-07,38.7157,39.4798,38.0685,38.0685,2721410
2008-08-08,38.0296,38.0608,36.7975,37.398,2339579
2008-08-11,38.1308,38.1464,37.5304,37.7254,1306634
2008-08-12,37.6708,39.0587,37.6708,38.3726,2104634
2008-08-13,38.4505,38.7937,36.8052,37.2653,1530636
2008-08-14,37.429,38.0763,36.8832,37.5069,2396014
2008-08-18,37.6629,38.6533,37.429,38.4428,1576301
